Time,x Acceleration,y Acceleration,z Velocity
1609464454.834016,-4.88,-0.14,0.06
1609464455.0629,-4.87,-0.25,0.32
1609464455.295187,-9.59,2.36,4.37
1609464455.5328178,-5.11,3.53,-3.49
1609464455.765602,-10.63,-0.41,0.50
1609464456.012177,-5.33,-0.17,0.11
1609464456.257967,-4.76,-0.41,0.16
1609464456.505019,-4.73,1.04,1.08
1609464456.738322,-5.74,-6.02,-1.21
1609464456.9760928,-12.13,4.95,-4.21
1609464457.510368,-6.07,8.13,1.60
1609464457.737654,-4.74,-0.32,0.23
1609464457.9739258,-9.62,1.84,4.37
1609464458.215014,-4.64,2.53,-3.76
1609464458.437321,-11.63,1.84,-1.41
1609464458.680686,-5.98,0.26,0.22
1609464458.923728,-4.64,-0.61,0.07
1609464459.178657,-4.93,-0.23,0.49
1609464459.404105,-6.64,-2.10,4.17
1609464459.656157,-9.06,5.11,-4.37
1609464459.889618,-16.37,2.87,2.57
1609464460.13287,-4.96,-0.23,0.19
1609464460.37407,-4.83,0.07,0.24
1609464460.60596,-9.35,-3.82,4.37
1609464460.90144,-7.63,5.24,-4.35
1609464462.414547,-9.08,-14.76,0.66
1609464462.638526,-5.00,-0.49,0.10
1609464462.8804638,-4.82,-0.19,0.13
1609464463.111309,-4.66,0.52,1.81
1609464463.3458161,0.89,1.14,-1.68
1609464463.587032,-13.90,6.08,-4.37
1609464463.824064,-5.64,-0.36,0.53
1609464464.065613,-4.48,-0.70,0.08
1609464464.293122,-4.78,-0.83,0.29
1609464464.8813,-13.32,-2.24,4.37
1609464465.1382542,-4.97,0.68,0.46
1609464465.376933,-5.18,-0.23,0.18
1609464465.638121,-5.29,0.57,0.57
1609464465.88358,-16.15,-6.66,1.63
1609464466.1347342,-12.55,5.31,-4.09
1609464466.373751,-11.90,-2.53,1.80
1609464466.621686,-4.95,-0.78,-0.06
1609464466.918647,-4.79,-1.00,0.24
1609464467.140534,-14.73,0.74,4.37
1609464467.3860989,-6.88,5.42,-4.36
1609464468.660063,-7.37,-9.42,1.43
1609464468.908701,-18.70,11.27,-3.31
1609464469.132672,-4.74,-0.45,0.08
1609464469.374468,-4.77,-0.05,0.10
1609464469.616632,-4.76,0.19,0.83
1609464469.843601,-11.55,-1.35,0.89
1609464470.070698,-13.69,9.54,-4.28
1609464470.3188381,-8.78,0.49,0.61
1609464470.560692,-4.86,-0.00,0.12
1609464470.789267,-4.72,-0.13,0.23
1609464471.0141408,-4.41,0.74,2.79
1609464471.237181,-0.25,0.25,-1.72
1609464471.460385,-11.44,8.77,-3.06
1609464471.6844668,-11.45,7.13,0.78
1609464471.933236,-4.81,-0.02,0.10
1609464472.162679,-4.98,0.24,0.13
1609464472.393584,-4.22,0.86,3.52
1609464472.627485,-3.74,-0.59,-2.30
1609464472.8630579,-12.67,9.79,-3.11
1609464473.117256,-6.56,-0.25,0.47
1609464473.367914,-4.80,-0.22,0.04
1609464473.588619,-5.06,0.25,0.22
1609464473.833538,-4.50,1.30,1.80
1609464474.054944,0.09,1.76,-1.74
1609464475.3169222,-9.90,5.51,-2.73
1609464475.5515158,-0.63,2.93,-2.12
1609464475.79796,-12.32,10.99,-2.99
1609464476.033661,-5.74,-0.27,0.26
1609464476.265436,-4.79,0.07,0.06
1609464476.496532,-4.71,0.01,0.17
1609464476.749266,-4.21,0.27,2.70
1609464476.98736,-4.93,1.08,-2.46
1609464477.228204,-11.71,4.52,-3.74
1609464477.467186,-14.45,-4.61,1.67
1609464477.692357,-5.08,0.25,0.16
1609464477.930054,-5.16,0.40,0.06
1609464478.1528718,-5.33,1.26,0.11
1609464478.393735,-5.32,0.72,-0.00
1609464478.629508,-5.19,0.63,0.05
1609464478.877289,-5.35,0.65,0.09
1609464479.111905,-5.51,0.33,0.12
1609464479.3568661,-5.78,0.29,0.19
1609464479.58065,-6.06,0.16,0.20
